SMILES,C1,C2
CCNC(C)CCCCO,1.147,44.07550000000001
CCCCCCC(O)CC,2.7277000000000013,45.05680000000002
CCCCCC(O)CC,2.3376,40.439800000000005
NCCNC(=O)CC(=O)O,-1.4639999999999989,34.31689999999999
*CCCC1(O)CC1C,1.5050999999999999,32.771799999999985
O=CNC(=O)C1CCCN1,-0.9890000000000005,35.2314
CC(O)CNC(O)C1CC1,-0.3148000000000004,38.414300000000004
CCCCCCC(O)CO,1.3099999999999998,41.851600000000005
CNCCCCCCCN,1.115,46.06610000000002
CC1CCC2C3COCC123,1.6789,38.63
CNCCCCCNC,0.5954999999999999,41.704400000000014
CC(O)C(C)CCC(N)N,0.026999999999999857,42.2416
CCCCCCCCCN,2.6957000000000013,47.04740000000003
CCCCCCC(C)CC,4.002900000000003,48.21400000000003
CC(O)CCC(=O)C(=O)O,-0.19890000000000013,33.55759999999999
CCCCCNC(N)CO,0.04329999999999945,42.588900000000024
CNCCCCCC(O)O,0.07689999999999986,40.62030000000001
NC(=O)CCC1CCCC1,1.4420999999999997,40.38640000000001
CNC(=O)C1CCCCC1,1.3127,40.641700000000014
NC(=O)CCCCCCO,0.4144999999999995,39.36520000000001
CC(O)CCCCC(C)O,1.3084,41.829600000000006
NCCCCCC(N)O,-0.21740000000000015,37.7166
CCCCC(O)NCCO,0.07689999999999991,40.6203
CCCCCC(=O)CCO,1.5182,40.851800000000004
CC(CO)CCNCO,-0.4557000000000001,35.955299999999994
CNC(=O)C1CCCCC1,1.3127,40.641700000000014
OC1CCCCCNCC1,0.901,41.96150000000001
CCCCCCCCCC,4.147000000000004,48.28400000000003
CC1CCC2CCCCC12,3.2227000000000023,43.84600000000002
CCCCC(=O)CC(C)C,2.791800000000001,43.987000000000016
CCCCC1CCCCC1,3.7569000000000026,46.10000000000002
OC1COC2C3CCCC132,0.5462,35.520799999999994
O=CNCCC1CCCC1,1.3127,40.641700000000014
O=C(O)CC(=O)CCCO,-0.19729999999999975,33.57959999999999
CCCCC1CCCCC1,3.7569000000000026,46.10000000000002
CCC(O)C(N)NC,-0.7384999999999997,33.332899999999995
NC1CCCC2CCOC12,0.9026999999999998,39.673400000000015
O=C1CCCCCCCC1,2.6899000000000006,41.94300000000001
CNCCNCN,-1.2883999999999989,30.983799999999995
